"","cleaned_company","date","yearmon","Uniqueid","cleaned_county","total_number_of_cases"
"274","hooters",2021-01-14,"2021-01",122,"pulaski",8
"275","bell & company",2021-01-21,"2021-01",123,"pulaski",10
"276","l'oreal manufacturing center",2021-01-18,"2021-01",124,"pulaski",16
"277","aerojet rocketdyne",2021-01-21,"2021-01",125,"ouachita",51
"278","city of camden",2021-01-25,"2021-01",126,"ouachita",8
"279","sykes enterprises call center",2021-02-11,"2021-02",127,"sebastian",35
"280","sykes enterprises call center",2021-02-04,"2021-02",128,"pulaski",12
"281","welspun pipes inc.",2021-02-04,"2021-02",129,"pulaski",39
"282","claudia's canine bakery",2021-02-11,"2021-02",130,"pulaski",19
"283","de wafelbakkers",2021-02-11,"2021-02",131,"pulaski",43
"284","great dane trailers",2021-02-11,"2021-02",132,"craighead",35
"285","lamb & associates packaging",2021-02-11,"2021-02",133,"pulaski",15
"286","wapsi fly co.",2021-02-25,"2021-02",134,"baxter",6
"287","rheem manufacturing",2021-02-25,"2021-02",135,"sebastian",72
"288","twin rivers paper",2021-02-25,"2021-02",136,"jefferson",22
"289","wilkerson's jewelry",2021-02-25,"2021-02",137,"arkansas",7
"290","mclarty daniel chevrolet",2021-03-04,"2021-03",138,"washington",11
"291","klein tools",2021-03-22,"2021-03",139,"sebastian",26
"292","k&k veterinary supply",2021-03-22,"2021-03",140,"washington",12
"293","first security bank",2021-04-08,"2021-04",141,"baxter",7
"294","butterball",2020-06-25,"2020-06",142,"franklin",13
"295","butterball",2020-07-24,"2020-07",142,"franklin",31
"296","butterball",2020-11-30,"2020-11",143,"craighead",22
"297","tyson",2020-05-29,"2020-05",144,"benton",6
"298","tyson",2020-05-19,"2020-05",145,"---",46
