"","date","company_name","address","city","county","number_active_cases","number_recovered_cases","industry","total_business","new_total","total_new","total_number_of_cases","percent_closed","x12","latitude","longitude"
"1:111","2020-6-09","Best Manufacturing",NA,"Jonesboro","Craighead","0","12",NA,NA,NA,0,12,100,NA,NA,NA
"1:112","2020-6-09","Simmons Foods",NA,"Van Buren","Crawford","11","2",NA,NA,NA,1,13,15.38461538,NA,NA,NA
"1:113","2020-6-09","Poultry (general)",NA,NA,"Crawford","6","1",NA,NA,NA,1,7,14.28571429,NA,NA,NA
"1:114","2020-6-09","Poultry (general)",NA,NA,"Hempstead","5","2",NA,NA,NA,7,7,28.57142857,NA,NA,NA
"1:115","2020-6-09","Poultry (general)",NA,NA,"Howard","4","6",NA,NA,NA,0,10,60,NA,NA,NA
"1:116","2020-6-09","Husqvarna",NA,"Nashville","Howard","5","2",NA,NA,NA,0,7,28.57142857,NA,NA,NA
"1:117","2020-6-09","Saracen Casino Construction",NA,"Pine Bluff","Jefferson","0","56",NA,NA,NA,0,56,100,NA,NA,NA
"1:118","2020-6-09","Poultry (general)",NA,NA,"Johnson","5","8",NA,NA,NA,13,13,61.53846154,NA,NA,NA
"1:119","2020-6-09","Tyson Clarksville",NA,"Clarksville","Johnson","6","14",NA,NA,NA,6,20,70,NA,NA,NA
"1:120","2020-6-09","Butterball Huntsville",NA,"Huntsville","Madison","54","13",NA,NA,NA,19,67,19.40298507,NA,NA,NA
"1:121","2020-6-09","Poultry (general)",NA,NA,"Madison","23","6",NA,NA,NA,9,29,20.68965517,NA,NA,NA
