"","yearmon","cleaned_county","positive2","New_Cases"
"725","2021-01","monroe",732,2
"726","2021-01","montgomery",654,1
"727","2021-01","nevada",717,6
"728","2021-01","newton",647,1
"729","2021-01","ouachita",1964,1
"730","2021-01","perry",678,1
"731","2021-01","phillips",1607,5
"732","2021-01","pike",877,2
"733","2021-01","poinsett",2927,1
"734","2021-01","polk",1656,4
"735","2021-01","pope",7188,21
"736","2021-01","prairie",790,5
"737","2021-01","pulaski",33841,217
"738","2021-01","randolph",1834,3
"739","2021-01","saline",10403,33
"740","2021-01","scott",869,2
"741","2021-01","searcy",615,4
"742","2021-01","sebastian",13555,38
"743","2021-01","sevier",2343,2
"744","2021-01","sharp",1445,8
"745","2021-01","st.francis",3315,5
"746","2021-01","stone",924,3
"747","2021-01","union",3331,4
"748","2021-01","van_buren",1117,5
"749","2021-01","washington",27660,40
"750","2021-01","white",6496,29
"751","2021-01","woodruff",552,7
"752","2021-01","yell",3048,11
"753","2021-02","arkansas_county",1993,13
"754","2021-02","ashley",1827,49
"755","2021-02","baxter",2891,63
"756","2021-02","benton",27243,100
"757","2021-02","boone",3638,2
"758","2021-02","bradley",1322,2
"759","2021-02","calhoun",398,6
"760","2021-02","carroll",2718,4
"761","2021-02","chicot",1587,2
"762","2021-02","clark",2036,2
"763","2021-02","clay",1693,13
"764","2021-02","cleburne",1885,11
"765","2021-02","cleveland",922,6
"766","2021-02","columbia",2259,107
"767","2021-02","conway",2145,1
"768","2021-02","craighead",12831,78
"769","2021-02","crawford",6781,25
"770","2021-02","crittenden",5754,79
"771","2021-02","cross",1900,2
"772","2021-02","dallas",736,11
"773","2021-02","desha",1332,3
"774","2021-02","drew",1953,1
"775","2021-02","faulkner",11767,67
"776","2021-02","franklin",1630,3
"777","2021-02","fulton",1076,2
"778","2021-02","garland",9726,70
"779","2021-02","grant",1580,18
"780","2021-02","greene",5894,85
"781","2021-02","hempstead",1924,85
"782","2021-02","hotspring",4848,2
"783","2021-02","howard",1579,44
"784","2021-02","independence",3663,4
"785","2021-02","izard",1653,1
"786","2021-02","jackson",3172,37
"787","2021-02","jefferson",8611,13
"788","2021-02","johnson",2755,14
"789","2021-02","lafayette",534,31
"790","2021-02","lawrence",2047,36
"791","2021-02","lee",1642,1
"792","2021-02","lincoln",3156,3
"793","2021-02","little_river",1171,36
"794","2021-02","logan",2175,2
"795","2021-02","lonoke",6802,19
"796","2021-02","madison",1405,3
"797","2021-02","marion",961,18
"798","2021-02","miller",4027,222
"799","2021-02","mississippi",5671,110
"800","2021-02","monroe",828,2
"801","2021-02","montgomery",729,1
"802","2021-02","nevada",792,9
"803","2021-02","newton",693,4
"804","2021-02","ouachita",2217,63
"805","2021-02","perry",806,4
"806","2021-02","phillips",1701,5
"807","2021-02","pike",975,3
"808","2021-02","poinsett",3077,11
"809","2021-02","polk",1892,14
"810","2021-02","pope",7737,14
"811","2021-02","prairie",872,6
"812","2021-02","pulaski",37387,264
"813","2021-02","randolph",2010,64
"814","2021-02","saline",11427,41
"815","2021-02","scott",927,1
"816","2021-02","searcy",662,11
"817","2021-02","sebastian",14583,28
"818","2021-02","sevier",2706,79
"819","2021-02","sharp",1522,1
"820","2021-02","st.francis",3442,6
"821","2021-02","stone",964,6
"822","2021-02","union",3708,46
"823","2021-02","van_buren",1194,26
"824","2021-02","washington",29386,50
"825","2021-02","white",7567,433
"826","2021-02","woodruff",623,6
"827","2021-02","yell",3355,5
"828","2021-03","arkansas_county",2076,4
"829","2021-03","ashley",1901,1
"830","2021-03","baxter",3070,3
"831","2021-03","benton",28151,32
"832","2021-03","boone",3742,2
"833","2021-03","bradley",1356,1
"834","2021-03","calhoun",409,1
"835","2021-03","carroll",2749,1
"836","2021-03","chicot",1610,1
"837","2021-03","clark",2081,3
"838","2021-03","clay",1723,1
"839","2021-03","cleburne",1945,2
"840","2021-03","cleveland",938,2
"841","2021-03","columbia",2321,2
"842","2021-03","conway",2189,2
"843","2021-03","craighead",13081,5
"844","2021-03","crawford",6978,2
"845","2021-03","crittenden",5869,8
"846","2021-03","cross",1919,2
"847","2021-03","dallas",756,2
"848","2021-03","desha",1357,2
"849","2021-03","drew",1984,3
"850","2021-03","faulkner",12195,13
"851","2021-03","franklin",1676,1
"852","2021-03","fulton",1100,1
"853","2021-03","garland",10030,3
